date,name,weight,std
2018-10-17T00:00:00Z,gagne,10.8125,20.975
2018-10-18T00:00:00Z,raisin,18.875,20.975
2018-10-18T00:00:00Z,simone,10.75,20.975
2018-10-18T00:00:00Z,gagne,10.8125,20.975
2018-10-22T00:00:00Z,raisin,18.625,NA
2018-10-22T00:00:00Z,simone,10.25,NA
2018-10-22T00:00:00Z,gagne,10.3125,NA
2018-10-23T00:00:00Z,raisin,18.5,20.975
2018-10-23T00:00:00Z,simone,10.5,20.975
2018-10-23T00:00:00Z,gagne,10.5,20.975
2018-10-24T00:00:00Z,raisin,18.4375,20.975
2018-10-24T00:00:00Z,simone,10.75,20.975
2018-10-24T00:00:00Z,gagne,10.5625,20.975
2018-10-25T00:00:00Z,raisin,18.4375,NA
2018-10-25T00:00:00Z,simone,10.5,NA
2018-10-25T00:00:00Z,gagne,10.5625,NA
2018-10-26T00:00:00Z,raisin,18.5,NA
2018-10-26T00:00:00Z,simone,10.5,NA
2018-10-26T00:00:00Z,gagne,10.6875,NA
2018-10-27T00:00:00Z,raisin,18.625,NA
2018-10-27T00:00:00Z,simone,10.5625,NA
2018-10-27T00:00:00Z,gagne,10.75,NA
2018-10-28T00:00:00Z,raisin,18.375,NA
2018-10-28T00:00:00Z,simone,10.5625,NA
2018-10-28T00:00:00Z,gagne,10.75,NA
2018-10-29T00:00:00Z,raisin,18.5625,NA
2018-10-29T00:00:00Z,simone,10.5,NA
2018-10-29T00:00:00Z,gagne,10.625,NA
2018-10-30T00:00:00Z,raisin,18.5,NA
2018-10-30T00:00:00Z,simone,10.5625,NA
2018-10-30T00:00:00Z,gagne,10.625,NA
2018-10-31T00:00:00Z,raisin,18.4375,20.975
2018-10-31T00:00:00Z,simone,10.625,20.975
2018-10-31T00:00:00Z,gagne,10.75,20.975
2018-11-01T00:00:00Z,raisin,18.4375,NA
2018-11-01T00:00:00Z,simone,10.5,NA
2018-11-01T00:00:00Z,gagne,10.6875,NA
2018-11-02T00:00:00Z,raisin,18.375,NA
